catalog	id	relationship	url	title	editor_status	proposal_stage	published_status	published_date	published_url	standing	organization	browser_target	series	repository	tests	tags	review_state	source	row_sha256
browser-specs	vc-di-ecdsa	umbrella	https://www.w3.org/TR/vc-di-ecdsa/	Data Integrity ECDSA Cryptosuites v1.0	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vc-di-ecdsa/	good	W3C	no	vc-di-ecdsa				CATALOG_INGESTED	index.json	8564b75c4a287d50a151cdb838aae04a26961f44899bcb9afd078f582f710a91
browser-specs	vc-di-ecdsa-1.1	umbrella	https://www.w3.org/TR/vc-di-ecdsa-1.1/	Data Integrity ECDSA Cryptosuites v1.1	Editor's Draft	NOT_APPLICABLE	First Public Working Draft	UNKNOWN	https://www.w3.org/TR/vc-di-ecdsa-1.1/	good	W3C	no	vc-di-ecdsa	https://github.com/w3c/vc-di-ecdsa			CATALOG_INGESTED	index.json	3812ec78ceab12ed05ad4911e8c29d907fe878f368371a5602f29e9390ee72cc
browser-specs	vc-di-eddsa	umbrella	https://www.w3.org/TR/vc-di-eddsa/	Data Integrity EdDSA Cryptosuites v1.0	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vc-di-eddsa/	good	W3C	no	vc-di-eddsa				CATALOG_INGESTED	index.json	d44e6a5d214f33de68e99e287a5a450b269c9bac934a4dd669314a4412e68cbb
browser-specs	vc-di-eddsa-1.1	umbrella	https://www.w3.org/TR/vc-di-eddsa-1.1/	Data Integrity EdDSA Cryptosuites v1.1	Editor's Draft	NOT_APPLICABLE	First Public Working Draft	UNKNOWN	https://www.w3.org/TR/vc-di-eddsa-1.1/	good	W3C	no	vc-di-eddsa	https://github.com/w3c/vc-di-eddsa			CATALOG_INGESTED	index.json	eab072171f1f8902d7e38ee376c8def24eb99256db01211678233aa813ed0132
browser-specs	vc-di-quantum-resistant-1.0	umbrella	https://www.w3.org/TR/vc-di-quantum-resistant-1.0/	Quantum-Resistant Cryptosuites v1.0	Editor's Draft	NOT_APPLICABLE	First Public Working Draft	UNKNOWN	https://www.w3.org/TR/vc-di-quantum-resistant-1.0/	good	W3C	no	vc-di-quantum-resistant	https://github.com/w3c/vc-di-quantum-resistant			CATALOG_INGESTED	index.json	a7740866be4bcdb8baa421f3b67cc8a6cfffe0ba2831d851600f3aead3cbe003
browser-specs	vc-forgery-defense-1.0	umbrella	https://www.w3.org/TR/vc-forgery-defense-1.0/	Verifiable Credential Forgery Defense v1.0	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vc-forgery-defense-1.0/	good	W3C	no	vc-forgery-defense	https://github.com/w3c/vc-forgery-defense		security-privacy	CATALOG_INGESTED	index.json	574a0ba7143f45e01f40ab1821ba13b10e6df1da28c46f0437e3dfdecd8b0417
browser-specs	vc-jose-cose	umbrella	https://www.w3.org/TR/vc-jose-cose/	Securing Verifiable Credentials using JOSE and COSE	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vc-jose-cose/	good	W3C	no	vc-jose-cose	https://github.com/w3c/vc-jose-cose			CATALOG_INGESTED	index.json	e8f405c2994ae0a029c90ef0afd033f798c046c79511291067a02e68866f0753
browser-specs	vc-json-schema	umbrella	https://www.w3.org/TR/vc-json-schema/	Verifiable Credentials JSON Schema Specification	Editor's Draft	NOT_APPLICABLE	Candidate Recommendation Draft	UNKNOWN	https://www.w3.org/TR/vc-json-schema/	good	W3C	no	vc-json-schema	https://github.com/w3c/vc-json-schema			CATALOG_INGESTED	index.json	3db336653f10fdf7277bf51e955250180f5ff3a696206b347c1a8b90029167c2
browser-specs	vc-recognized-entities-1.0	umbrella	https://www.w3.org/TR/vc-recognized-entities-1.0/	Recognized Entities v1.0	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vc-recognized-entities-1.0/	good	W3C	no	vc-recognized-entities	https://github.com/w3c/vc-recognized-entities			CATALOG_INGESTED	index.json	beaf02ac7d79160dadd9d3e1b9625c38ca32e01ffc959e1737c4330e077ed5b1
browser-specs	vc-render-method	umbrella	https://www.w3.org/TR/vc-render-method/	Verifiable Credential Rendering Methods v1.0	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vc-render-method/	good	W3C	no	vc-render-method	https://github.com/w3c/vc-render-method		security-privacy	CATALOG_INGESTED	index.json	15ff98a0230bc5cb3eb2a51b2eb3fb075224dbc6f6ba5305aae36dd9a8f7ef64
